shipment_id,po_number,carrier,warehouse_id,destination,status,eta
SHP000337,PO000316,XPO Logistics,WH008,"Chicago, IL",Delivered,2025-12-09
SHP000338,PO001388,XPO Logistics,WH004,"Seattle, WA",Exception,2025-03-12
SHP000339,PO000618,DHL,WH006,"New York, NY",In Transit,2025-05-30
SHP000340,PO000889,XPO Logistics,WH004,"New York, NY",Exception,2026-04-07
SHP000341,PO001857,UPS,WH003,"Dallas, TX",In Transit,2025-11-04
SHP000342,PO002576,UPS,WH003,"Chicago, IL",Delayed,2026-03-19
SHP000343,PO001784,J.B. Hunt,WH004,"Chicago, IL",In Transit,2025-06-14
SHP000344,PO002267,J.B. Hunt,WH006,"Chicago, IL",Delivered,2025-07-21
SHP000345,PO001980,DHL,WH001,"Seattle, WA",In Transit,2025-08-11
SHP000346,PO002635,Ryder,WH001,"New York, NY",In Transit,2026-05-12
SHP000347,PO002795,Ryder,WH002,"Atlanta, GA",Delayed,2025-02-13
SHP000348,PO001148,UPS,WH005,"Atlanta, GA",Delayed,2025-03-18
SHP000349,PO001683,J.B. Hunt,WH003,"Atlanta, GA",In Transit,2025-07-09
SHP000350,PO001447,XPO Logistics,WH001,"New York, NY",Delayed,2026-02-02
SHP000351,PO001452,Ryder,WH006,"Dallas, TX",In Transit,2025-08-21
SHP000352,PO000083,UPS,WH004,"Chicago, IL",Delayed,2026-03-01
SHP000353,PO000900,FedEx,WH006,"Chicago, IL",Exception,2025-10-13
SHP000354,PO000361,Ryder,WH004,"Chicago, IL",Delayed,2026-07-21
SHP000355,PO000975,Ryder,WH006,"New York, NY",Exception,2026-06-05
SHP000356,PO002299,DHL,WH004,"Dallas, TX",Delivered,2025-01-23
SHP000357,PO000590,J.B. Hunt,WH008,"Atlanta, GA",Delayed,2025-12-15
SHP000358,PO001437,J.B. Hunt,WH003,"Atlanta, GA",Delayed,2025-03-02
SHP000359,PO002384,UPS,WH003,"Chicago, IL",Exception,2025-05-13
SHP000360,PO002142,XPO Logistics,WH001,"New York, NY",Delivered,2025-01-06
SHP000361,PO001835,J.B. Hunt,WH007,"New York, NY",Exception,2025-03-13
SHP000362,PO000383,DHL,WH007,"Seattle, WA",Delayed,2026-05-31
SHP000363,PO001027,Ryder,WH006,"Chicago, IL",Delayed,2026-04-23
SHP000364,PO000498,J.B. Hunt,WH004,"Atlanta, GA",Delivered,2025-10-03
SHP000365,PO002947,FedEx,WH007,"New York, NY",Exception,2026-01-07
SHP000366,PO002355,XPO Logistics,WH001,"Chicago, IL",In Transit,2025-05-23
SHP000367,PO000880,Ryder,WH006,"Atlanta, GA",Delayed,2025-05-14
SHP000368,PO002776,Ryder,WH001,"Atlanta, GA",Delivered,2025-04-24
SHP000369,PO000939,UPS,WH005,"Dallas, TX",Delayed,2026-02-25
SHP000370,PO002389,Ryder,WH007,"Seattle, WA",In Transit,2026-03-09
SHP000371,PO002750,FedEx,WH005,"Dallas, TX",Exception,2026-06-04
SHP000372,PO001744,DHL,WH008,"Dallas, TX",Delayed,2026-02-16
SHP000373,PO000468,XPO Logistics,WH005,"Chicago, IL",In Transit,2025-07-25
SHP000374,PO000908,UPS,WH003,"Dallas, TX",Delayed,2025-11-29
SHP000375,PO002383,DHL,WH004,"Chicago, IL",Exception,2025-11-24
SHP000376,PO000396,DHL,WH004,"Atlanta, GA",Exception,2025-03-10
SHP000377,PO001749,XPO Logistics,WH002,"Atlanta, GA",Delivered,2025-08-01
SHP000378,PO001424,UPS,WH002,"Dallas, TX",In Transit,2025-09-30
SHP000379,PO000689,Ryder,WH007,"New York, NY",Delivered,2025-12-10
SHP000380,PO000384,J.B. Hunt,WH006,"Chicago, IL",In Transit,2025-01-31
SHP000381,PO000394,UPS,WH006,"Chicago, IL",Delivered,2025-07-10
SHP000382,PO001780,J.B. Hunt,WH008,"Atlanta, GA",Exception,2025-10-10
SHP000383,PO000159,XPO Logistics,WH001,"Seattle, WA",Exception,2026-07-17
SHP000384,PO002085,DHL,WH005,"Chicago, IL",Exception,2026-01-26
SHP000385,PO001424,FedEx,WH008,"Dallas, TX",Exception,2025-08-27
SHP000386,PO002781,FedEx,WH001,"Dallas, TX",Exception,2026-06-21
SHP000387,PO001456,UPS,WH005,"Atlanta, GA",Delivered,2025-04-22
SHP000388,PO001060,XPO Logistics,WH005,"Chicago, IL",Delivered,2026-01-16
SHP000389,PO002394,Ryder,WH008,"Atlanta, GA",Delivered,2025-04-26
SHP000390,PO001132,DHL,WH005,"New York, NY",Delivered,2025-01-27
SHP000391,PO001057,Ryder,WH001,"Seattle, WA",Delivered,2025-02-25
SHP000392,PO002812,Ryder,WH002,"Atlanta, GA",In Transit,2025-07-16
SHP000393,PO001413,DHL,WH004,"Dallas, TX",In Transit,2025-02-01
SHP000394,PO000745,FedEx,WH005,"Dallas, TX",Exception,2025-10-24
SHP000395,PO001302,FedEx,WH008,"Dallas, TX",In Transit,2025-03-17
SHP000396,PO000259,FedEx,WH001,"Atlanta, GA",Delayed,2025-07-31
SHP000397,PO000669,UPS,WH002,"Atlanta, GA",Delayed,2025-01-10
SHP000398,PO000144,DHL,WH001,"Seattle, WA",Exception,2026-07-17
SHP000399,PO000479,XPO Logistics,WH008,"Atlanta, GA",Exception,2025-01-16
SHP000400,PO000772,FedEx,WH005,"New York, NY",Delivered,2025-10-01
SHP000401,PO001738,FedEx,WH006,"Seattle, WA",In Transit,2025-12-20
SHP000402,PO000541,FedEx,WH005,"Chicago, IL",Delivered,2025-12-26
SHP000403,PO000170,FedEx,WH003,"Dallas, TX",Exception,2026-05-01
SHP000404,PO001754,J.B. Hunt,WH007,"Dallas, TX",Delayed,2025-08-24
SHP000405,PO000832,FedEx,WH002,"Dallas, TX",Delivered,2025-12-09
SHP000406,PO001047,Ryder,WH008,"Dallas, TX",Exception,2025-06-28
SHP000407,PO000516,DHL,WH004,"Atlanta, GA",Delayed,2025-08-01
SHP000408,PO001238,XPO Logistics,WH002,"Seattle, WA",Delivered,2025-02-06
SHP000409,PO001320,Ryder,WH005,"Seattle, WA",Delayed,2025-01-11
SHP000410,PO001112,DHL,WH004,"Dallas, TX",In Transit,2025-11-22
SHP000411,PO001940,UPS,WH008,"Dallas, TX",Delivered,2026-05-24
SHP000412,PO000930,FedEx,WH008,"Chicago, IL",In Transit,2025-05-30
SHP000413,PO000280,J.B. Hunt,WH005,"Atlanta, GA",Delayed,2025-02-02
SHP000414,PO002850,FedEx,WH007,"Dallas, TX",In Transit,2025-11-04
SHP000415,PO000457,DHL,WH004,"Chicago, IL",Exception,2025-05-12
SHP000416,PO001005,FedEx,WH001,"New York, NY",Exception,2025-02-09
SHP000417,PO002050,J.B. Hunt,WH002,"Atlanta, GA",In Transit,2025-03-18
SHP000418,PO002213,J.B. Hunt,WH002,"Chicago, IL",Delivered,2025-01-27
SHP000419,PO001194,J.B. Hunt,WH003,"Chicago, IL",Exception,2025-04-24
SHP000420,PO002809,Ryder,WH002,"Atlanta, GA",Exception,2025-11-10
SHP000421,PO001865,DHL,WH005,"Chicago, IL",Delayed,2025-06-03
SHP000422,PO001380,FedEx,WH003,"Seattle, WA",Delayed,2025-12-05
SHP000423,PO002170,Ryder,WH003,"Seattle, WA",Exception,2025-09-24
SHP000424,PO000682,Ryder,WH007,"New York, NY",In Transit,2026-06-30
SHP000425,PO000565,DHL,WH002,"Dallas, TX",Exception,2026-03-24
SHP000426,PO000954,FedEx,WH003,"New York, NY",Delivered,2025-12-09
SHP000427,PO002709,UPS,WH005,"Chicago, IL",In Transit,2026-04-25
SHP000428,PO002656,XPO Logistics,WH008,"Seattle, WA",Delivered,2026-03-13
SHP000429,PO000367,XPO Logistics,WH008,"New York, NY",In Transit,2026-01-30
SHP000430,PO001969,XPO Logistics,WH001,"New York, NY",Delivered,2025-01-12
SHP000431,PO001501,FedEx,WH004,"Atlanta, GA",In Transit,2025-09-15
SHP000432,PO000970,UPS,WH002,"Atlanta, GA",Delivered,2025-08-13
SHP000433,PO001885,FedEx,WH003,"Chicago, IL",Exception,2025-07-02
SHP000434,PO001227,FedEx,WH007,"Chicago, IL",Exception,2026-01-30
SHP000435,PO002350,XPO Logistics,WH003,"New York, NY",Delivered,2025-03-26
SHP000436,PO000061,Ryder,WH003,"Seattle, WA",Delayed,2025-04-30
SHP000437,PO001834,Ryder,WH007,"New York, NY",Exception,2025-03-01
SHP000438,PO000788,FedEx,WH001,"New York, NY",Exception,2025-04-24
SHP000439,PO000044,Ryder,WH004,"New York, NY",Delayed,2025-01-02
SHP000440,PO001923,Ryder,WH008,"Seattle, WA",Delivered,2025-07-04
SHP000441,PO000330,XPO Logistics,WH001,"New York, NY",Exception,2025-08-10
SHP000442,PO001917,UPS,WH004,"New York, NY",Exception,2025-08-23
SHP000443,PO001161,XPO Logistics,WH007,"Seattle, WA",Delayed,2025-02-15
SHP000444,PO002174,FedEx,WH006,"Atlanta, GA",Exception,2026-03-15
SHP000445,PO000133,Ryder,WH001,"Dallas, TX",Delivered,2026-06-23
SHP000446,PO000152,Ryder,WH001,"New York, NY",Delayed,2025-02-19
SHP000447,PO002141,XPO Logistics,WH003,"Atlanta, GA",In Transit,2025-02-14
SHP000448,PO001162,FedEx,WH006,"Atlanta, GA",Delivered,2026-06-02
SHP000449,PO002548,DHL,WH002,"New York, NY",Exception,2025-10-30
SHP000450,PO000757,UPS,WH005,"Chicago, IL",Delayed,2025-03-11
SHP000451,PO000395,XPO Logistics,WH001,"Atlanta, GA",Exception,2025-03-09
SHP000452,PO002051,J.B. Hunt,WH001,"Seattle, WA",Delivered,2025-07-04
SHP000453,PO000586,J.B. Hunt,WH002,"New York, NY",Exception,2025-04-05
SHP000454,PO000648,J.B. Hunt,WH004,"Seattle, WA",Delivered,2025-11-14
SHP000455,PO001461,DHL,WH001,"Chicago, IL",Exception,2026-06-19
SHP000456,PO002967,XPO Logistics,WH008,"Atlanta, GA",In Transit,2025-04-06
SHP000457,PO001541,XPO Logistics,WH007,"Seattle, WA",Delivered,2025-05-02
SHP000458,PO000390,FedEx,WH001,"Atlanta, GA",Delayed,2026-01-16
SHP000459,PO001580,DHL,WH004,"Dallas, TX",In Transit,2026-05-21
SHP000460,PO000212,DHL,WH003,"Chicago, IL",Delayed,2026-04-02
SHP000461,PO001882,Ryder,WH004,"New York, NY",Delayed,2025-02-23
SHP000462,PO000521,UPS,WH001,"Chicago, IL",Exception,2025-02-06
SHP000463,PO001328,DHL,WH007,"Seattle, WA",Exception,2026-05-23
SHP000464,PO001199,XPO Logistics,WH006,"Chicago, IL",Delayed,2026-02-10
SHP000465,PO000886,DHL,WH004,"Atlanta, GA",Delayed,2025-03-18
SHP000466,PO000051,UPS,WH003,"Seattle, WA",Exception,2025-10-19
SHP000467,PO000931,FedEx,WH003,"Dallas, TX",Delivered,2026-06-15
SHP000468,PO002267,FedEx,WH001,"Chicago, IL",Exception,2026-07-13
SHP000469,PO002674,FedEx,WH001,"Dallas, TX",Exception,2026-07-07
SHP000470,PO002648,Ryder,WH003,"Dallas, TX",Delivered,2025-09-13
SHP000471,PO000313,DHL,WH002,"Seattle, WA",In Transit,2025-09-03
SHP000472,PO000476,J.B. Hunt,WH008,"Atlanta, GA",Delivered,2025-01-26
SHP000473,PO002916,J.B. Hunt,WH006,"Dallas, TX",Exception,2026-06-17
SHP000474,PO001983,FedEx,WH001,"Seattle, WA",Exception,2026-02-13
SHP000475,PO002749,DHL,WH005,"New York, NY",Exception,2025-09-24
SHP000476,PO002814,UPS,WH005,"Seattle, WA",Delivered,2025-10-15
SHP000477,PO001386,Ryder,WH003,"Chicago, IL",Delivered,2026-03-21
SHP000478,PO000333,Ryder,WH008,"Chicago, IL",In Transit,2026-04-23
SHP000479,PO001028,FedEx,WH006,"Atlanta, GA",Exception,2025-04-18
SHP000480,PO001303,Ryder,WH007,"Dallas, TX",Delivered,2025-06-23
SHP000481,PO002742,Ryder,WH005,"Seattle, WA",In Transit,2026-06-20
SHP000482,PO001330,J.B. Hunt,WH003,"Dallas, TX",Delayed,2025-12-06
SHP000483,PO000226,J.B. Hunt,WH007,"Atlanta, GA",Delayed,2026-01-28
SHP000484,PO000736,Ryder,WH008,"Atlanta, GA",In Transit,2025-07-16
SHP000485,PO000046,J.B. Hunt,WH002,"New York, NY",Delayed,2025-07-14
SHP000486,PO002448,UPS,WH005,"New York, NY",Delivered,2025-06-30
SHP000487,PO002209,FedEx,WH005,"Atlanta, GA",Exception,2026-02-25
SHP000488,PO002120,Ryder,WH004,"Seattle, WA",Delayed,2025-08-18
SHP000489,PO000735,Ryder,WH001,"New York, NY",In Transit,2026-01-22
SHP000490,PO001735,DHL,WH008,"Atlanta, GA",Delivered,2026-06-09
SHP000491,PO000362,J.B. Hunt,WH005,"Seattle, WA",In Transit,2026-04-25
SHP000492,PO000892,FedEx,WH004,"Atlanta, GA",Exception,2025-08-10
SHP000493,PO002663,FedEx,WH003,"Atlanta, GA",In Transit,2025-01-17
SHP000494,PO001726,J.B. Hunt,WH006,"Chicago, IL",In Transit,2026-05-14
SHP000495,PO002816,XPO Logistics,WH002,"Atlanta, GA",In Transit,2025-10-30
SHP000496,PO001571,FedEx,WH007,"Seattle, WA",Delivered,2025-06-13
SHP000497,PO002105,J.B. Hunt,WH007,"Dallas, TX",Exception,2025-01-05
SHP000498,PO001016,XPO Logistics,WH007,"Atlanta, GA",Delivered,2025-01-21
SHP000499,PO002393,Ryder,WH003,"Atlanta, GA",Exception,2026-05-30
SHP000500,PO001943,XPO Logistics,WH006,"New York, NY",In Transit,2026-01-14
SHP000501,PO001614,J.B. Hunt,WH006,"Atlanta, GA",In Transit,2025-08-12
SHP000502,PO002643,Ryder,WH005,"Atlanta, GA",Delivered,2025-11-04
SHP000503,PO001211,J.B. Hunt,WH007,"Chicago, IL",Delivered,2025-08-27
SHP000504,PO002280,XPO Logistics,WH007,"New York, NY",In Transit,2025-09-17
SHP000505,PO001636,FedEx,WH005,"Atlanta, GA",Delivered,2026-06-20
SHP000506,PO000551,UPS,WH007,"Atlanta, GA",Exception,2025-02-14
SHP000507,PO001386,Ryder,WH004,"Dallas, TX",In Transit,2025-07-07
SHP000508,PO002772,FedEx,WH008,"Dallas, TX",Delayed,2025-07-26
SHP000509,PO000063,J.B. Hunt,WH001,"Atlanta, GA",Exception,2025-04-17
SHP000510,PO002305,XPO Logistics,WH001,"Dallas, TX",Exception,2026-06-13
SHP000511,PO000447,J.B. Hunt,WH004,"Chicago, IL",Delayed,2025-03-05
SHP000512,PO001656,FedEx,WH003,"New York, NY",Delayed,2025-11-23
SHP000513,PO000642,DHL,WH005,"Dallas, TX",In Transit,2025-09-15
SHP000514,PO002317,XPO Logistics,WH002,"Atlanta, GA",In Transit,2025-07-24
SHP000515,PO002673,UPS,WH006,"Dallas, TX",Exception,2025-11-11
SHP000516,PO001595,UPS,WH003,"Dallas, TX",Exception,2025-11-12
SHP000517,PO002728,Ryder,WH001,"Dallas, TX",In Transit,2025-12-31
SHP000518,PO002558,XPO Logistics,WH008,"Seattle, WA",Exception,2026-06-05
SHP000519,PO001272,FedEx,WH001,"Atlanta, GA",Delayed,2025-12-09
SHP000520,PO001573,XPO Logistics,WH007,"Dallas, TX",In Transit,2025-11-23
SHP000521,PO000632,XPO Logistics,WH004,"Chicago, IL",In Transit,2026-02-06
SHP000522,PO001092,DHL,WH003,"Atlanta, GA",Exception,2025-03-11
SHP000523,PO001871,FedEx,WH006,"Dallas, TX",Exception,2025-10-15
SHP000524,PO002192,UPS,WH006,"Seattle, WA",Exception,2025-08-18
SHP000525,PO001944,Ryder,WH005,"New York, NY",Exception,2025-03-07
SHP000526,PO000071,Ryder,WH004,"Seattle, WA",In Transit,2025-09-28
SHP000527,PO001035,DHL,WH002,"Seattle, WA",Delayed,2026-07-13
SHP000528,PO002775,Ryder,WH006,"Seattle, WA",In Transit,2026-04-06
SHP000529,PO002176,FedEx,WH007,"Dallas, TX",Exception,2025-07-27
SHP000530,PO001355,FedEx,WH002,"Seattle, WA",Delayed,2026-02-05
SHP000531,PO002230,J.B. Hunt,WH007,"Atlanta, GA",Delayed,2025-03-30
SHP000532,PO002880,FedEx,WH003,"Atlanta, GA",Delivered,2025-03-03
SHP000533,PO001511,UPS,WH006,"New York, NY",Exception,2026-06-08
SHP000534,PO000372,XPO Logistics,WH004,"New York, NY",Exception,2025-05-10
SHP000535,PO002356,XPO Logistics,WH007,"Atlanta, GA",Exception,2026-05-05
SHP000536,PO002602,UPS,WH004,"Atlanta, GA",Delayed,2025-01-01
SHP000537,PO002432,DHL,WH006,"Dallas, TX",Exception,2025-05-05
SHP000538,PO002610,DHL,WH001,"Chicago, IL",In Transit,2026-04-08
SHP000539,PO000357,DHL,WH007,"Atlanta, GA",In Transit,2026-03-05
SHP000540,PO002621,Ryder,WH007,"Seattle, WA",In Transit,2025-08-17
SHP000541,PO002515,UPS,WH008,"Atlanta, GA",Delayed,2026-02-02
SHP000542,PO002330,Ryder,WH005,"Dallas, TX",Delayed,2025-12-16
SHP000543,PO001976,J.B. Hunt,WH004,"New York, NY",In Transit,2025-11-09
SHP000544,PO001003,J.B. Hunt,WH006,"Atlanta, GA",Exception,2026-01-05
SHP000545,PO001786,Ryder,WH005,"Chicago, IL",In Transit,2026-02-13
SHP000546,PO001084,J.B. Hunt,WH005,"Seattle, WA",In Transit,2025-02-20
SHP000547,PO002469,DHL,WH005,"Seattle, WA",Delivered,2025-12-06
SHP000548,PO002142,J.B. Hunt,WH004,"New York, NY",Exception,2026-01-02
SHP000549,PO002692,J.B. Hunt,WH008,"Seattle, WA",Delivered,2025-03-11
SHP000550,PO000750,FedEx,WH005,"Chicago, IL",In Transit,2026-04-02
SHP000551,PO002134,J.B. Hunt,WH008,"Dallas, TX",Delayed,2025-05-31
SHP000552,PO000744,UPS,WH005,"Atlanta, GA",Delayed,2026-06-15
SHP000553,PO000900,UPS,WH008,"Chicago, IL",In Transit,2025-01-26
SHP000554,PO000887,DHL,WH003,"Atlanta, GA",Delayed,2025-11-15
SHP000555,PO000405,J.B. Hunt,WH005,"New York, NY",Delivered,2025-06-09
SHP000556,PO001793,Ryder,WH007,"New York, NY",Delivered,2025-11-05
SHP000557,PO000055,Ryder,WH001,"New York, NY",Exception,2026-07-26
SHP000558,PO001683,UPS,WH005,"Chicago, IL",Exception,2026-02-15
SHP000559,PO000821,DHL,WH008,"Seattle, WA",Exception,2025-06-19
SHP000560,PO001905,DHL,WH008,"New York, NY",Delivered,2025-04-25
SHP000561,PO000515,XPO Logistics,WH002,"Atlanta, GA",Exception,2025-07-18
SHP000562,PO002388,XPO Logistics,WH003,"Dallas, TX",Exception,2025-05-06
SHP000563,PO000580,XPO Logistics,WH008,"Dallas, TX",Exception,2025-08-05
SHP000564,PO000503,Ryder,WH008,"Chicago, IL",In Transit,2026-06-25
SHP000565,PO002828,FedEx,WH004,"Dallas, TX",Delivered,2025-10-26
SHP000566,PO000307,XPO Logistics,WH007,"Dallas, TX",Delivered,2026-02-12
SHP000567,PO000560,DHL,WH007,"New York, NY",Exception,2025-06-23
SHP000568,PO000854,XPO Logistics,WH003,"Dallas, TX",Exception,2026-05-07
SHP000569,PO001702,DHL,WH008,"New York, NY",In Transit,2025-07-04
SHP000570,PO002951,DHL,WH008,"Seattle, WA",In Transit,2025-05-09
SHP000571,PO002241,FedEx,WH008,"Dallas, TX",Exception,2026-03-27
SHP000572,PO000770,FedEx,WH005,"New York, NY",Exception,2026-03-30
SHP000573,PO002888,J.B. Hunt,WH003,"Atlanta, GA",Delayed,2026-04-17
SHP000574,PO000897,DHL,WH003,"Chicago, IL",Exception,2026-07-04
SHP000575,PO001700,J.B. Hunt,WH001,"Dallas, TX",Delayed,2025-06-04
SHP000576,PO002050,FedEx,WH004,"Seattle, WA",In Transit,2025-10-27
SHP000577,PO001638,DHL,WH005,"Chicago, IL",In Transit,2025-09-15
SHP000578,PO000929,FedEx,WH002,"Atlanta, GA",Delayed,2026-05-05
SHP000579,PO001587,UPS,WH003,"Dallas, TX",Delayed,2026-06-15
SHP000580,PO001285,FedEx,WH008,"Dallas, TX",Delivered,2025-12-08
SHP000581,PO000308,FedEx,WH007,"Seattle, WA",Delivered,2026-04-07
SHP000582,PO002160,Ryder,WH004,"Dallas, TX",Exception,2026-03-14
SHP000583,PO001716,XPO Logistics,WH005,"Atlanta, GA",In Transit,2025-04-10
SHP000584,PO002832,UPS,WH004,"Seattle, WA",In Transit,2026-07-21
SHP000585,PO001685,DHL,WH006,"Dallas, TX",Delayed,2025-06-15
SHP000586,PO000833,UPS,WH004,"Chicago, IL",In Transit,2026-01-05
SHP000587,PO000528,FedEx,WH003,"Atlanta, GA",Delivered,2025-02-03
SHP000588,PO002356,XPO Logistics,WH006,"New York, NY",Delayed,2026-02-18
SHP000589,PO002716,J.B. Hunt,WH006,"New York, NY",Delivered,2025-10-27
SHP000590,PO000883,FedEx,WH004,"Dallas, TX",Exception,2026-04-28
SHP000591,PO000395,DHL,WH007,"New York, NY",Exception,2025-01-02
SHP000592,PO001971,J.B. Hunt,WH004,"Chicago, IL",In Transit,2026-01-14
SHP000593,PO002487,DHL,WH004,"Atlanta, GA",Delivered,2025-03-10
SHP000594,PO002215,XPO Logistics,WH004,"Seattle, WA",Delayed,2026-01-15
SHP000595,PO002909,J.B. Hunt,WH004,"Seattle, WA",Exception,2026-06-07
SHP000596,PO001504,XPO Logistics,WH005,"Atlanta, GA",Exception,2025-08-29
SHP000597,PO001721,FedEx,WH001,"Seattle, WA",Delayed,2026-06-04
SHP000598,PO002077,XPO Logistics,WH008,"Chicago, IL",In Transit,2025-05-16
SHP000599,PO000498,XPO Logistics,WH001,"Atlanta, GA",In Transit,2025-01-28
SHP000600,PO001634,UPS,WH003,"Dallas, TX",In Transit,2025-10-29
SHP000601,PO001535,DHL,WH008,"Atlanta, GA",Delivered,2025-06-29
SHP000602,PO001251,FedEx,WH007,"New York, NY",In Transit,2025-12-16
SHP000603,PO000352,UPS,WH001,"New York, NY",Exception,2026-07-09
SHP000604,PO001697,XPO Logistics,WH003,"Dallas, TX",In Transit,2026-05-30
SHP000605,PO000134,FedEx,WH004,"New York, NY",Delivered,2025-05-22
SHP000606,PO002307,UPS,WH001,"Dallas, TX",In Transit,2026-06-02
SHP000607,PO000092,Ryder,WH006,"New York, NY",Delayed,2025-01-03
SHP000608,PO001260,XPO Logistics,WH007,"Dallas, TX",Delayed,2025-11-02
SHP000609,PO002809,FedEx,WH007,"New York, NY",Exception,2026-07-27
SHP000610,PO001118,FedEx,WH005,"Dallas, TX",Delivered,2025-09-01
SHP000611,PO002127,Ryder,WH005,"Seattle, WA",Delivered,2025-12-01
SHP000612,PO002137,Ryder,WH004,"Dallas, TX",Delivered,2025-03-23
SHP000613,PO001147,UPS,WH007,"Dallas, TX",Delayed,2025-08-05
SHP000614,PO001012,DHL,WH004,"Chicago, IL",Delayed,2026-05-21
SHP000615,PO002177,FedEx,WH006,"Atlanta, GA",Delivered,2025-04-21
SHP000616,PO000581,J.B. Hunt,WH002,"Seattle, WA",Delayed,2025-05-14
SHP000617,PO001513,J.B. Hunt,WH001,"New York, NY",Delivered,2026-01-24
SHP000618,PO001393,XPO Logistics,WH005,"Dallas, TX",Delivered,2025-08-29
SHP000619,PO001540,DHL,WH003,"Dallas, TX",Exception,2026-03-03
SHP000620,PO000753,J.B. Hunt,WH004,"Seattle, WA",Delayed,2025-11-06
SHP000621,PO001915,FedEx,WH007,"New York, NY",Delivered,2025-01-28
SHP000622,PO001929,FedEx,WH006,"Chicago, IL",Delivered,2025-04-20
SHP000623,PO002372,J.B. Hunt,WH007,"Atlanta, GA",Exception,2025-01-19
SHP000624,PO000017,DHL,WH004,"Atlanta, GA",In Transit,2025-11-03
SHP000625,PO001714,UPS,WH001,"Dallas, TX",Exception,2025-08-01
SHP000626,PO002089,FedEx,WH006,"Chicago, IL",Exception,2025-02-04
SHP000627,PO001365,Ryder,WH001,"Atlanta, GA",Delayed,2025-07-26
SHP000628,PO000847,DHL,WH007,"Chicago, IL",In Transit,2025-07-03
SHP000629,PO002463,J.B. Hunt,WH001,"Atlanta, GA",Delayed,2026-07-29
SHP000630,PO000144,DHL,WH007,"Atlanta, GA",Exception,2025-02-14
SHP000631,PO002418,DHL,WH002,"Seattle, WA",Delayed,2025-11-27
SHP000632,PO000670,Ryder,WH005,"Dallas, TX",In Transit,2025-06-16
SHP000633,PO000311,Ryder,WH005,"Dallas, TX",Delayed,2026-04-07
SHP000634,PO000021,DHL,WH004,"New York, NY",Delivered,2025-07-29
SHP000635,PO000730,UPS,WH002,"Seattle, WA",Delivered,2025-01-02
SHP000636,PO000890,XPO Logistics,WH001,"New York, NY",Exception,2026-05-25
SHP000637,PO000352,FedEx,WH006,"New York, NY",Delayed,2025-06-08
SHP000638,PO001184,Ryder,WH001,"Atlanta, GA",Exception,2026-06-28
SHP000639,PO001507,UPS,WH001,"Dallas, TX",In Transit,2025-09-24
SHP000640,PO001399,J.B. Hunt,WH006,"Seattle, WA",In Transit,2025-12-01
SHP000641,PO001894,FedEx,WH004,"Seattle, WA",In Transit,2026-07-12
SHP000642,PO001158,XPO Logistics,WH008,"Chicago, IL",Delivered,2025-08-08
SHP000643,PO000732,FedEx,WH006,"New York, NY",Delivered,2025-06-07
SHP000644,PO001875,J.B. Hunt,WH006,"Chicago, IL",Exception,2025-11-10
SHP000645,PO001510,DHL,WH008,"New York, NY",Delivered,2026-04-13
SHP000646,PO001406,DHL,WH001,"New York, NY",Delivered,2025-07-13
SHP000647,PO000761,DHL,WH001,"Atlanta, GA",Delayed,2025-05-01
SHP000648,PO001133,J.B. Hunt,WH002,"Chicago, IL",Delivered,2025-03-15
SHP000649,PO002575,XPO Logistics,WH001,"Dallas, TX",Exception,2025-03-18
SHP000650,PO002003,J.B. Hunt,WH006,"Atlanta, GA",Delivered,2025-10-10
SHP000651,PO001614,Ryder,WH004,"Atlanta, GA",Delivered,2025-05-19
SHP000652,PO002585,Ryder,WH005,"Atlanta, GA",Delivered,2025-01-09
SHP000653,PO001359,DHL,WH004,"New York, NY",In Transit,2025-11-22
SHP000654,PO000237,DHL,WH006,"Seattle, WA",Exception,2025-05-30
SHP000655,PO000240,DHL,WH002,"Chicago, IL",Delivered,2025-10-06
SHP000656,PO000498,FedEx,WH001,"New York, NY",Exception,2025-03-04
SHP000657,PO002321,FedEx,WH006,"Chicago, IL",In Transit,2025-05-13
SHP000658,PO001205,XPO Logistics,WH007,"Dallas, TX",Delayed,2025-04-21
SHP000659,PO000563,DHL,WH004,"Chicago, IL",Delivered,2025-04-09
SHP000660,PO002259,J.B. Hunt,WH007,"Atlanta, GA",Delayed,2025-02-08
SHP000661,PO001881,FedEx,WH003,"Dallas, TX",In Transit,2026-02-26
SHP000662,PO000925,Ryder,WH005,"New York, NY",Exception,2026-02-27
SHP000663,PO000934,FedEx,WH002,"Dallas, TX",Delivered,2025-03-03
SHP000664,PO002537,UPS,WH001,"Dallas, TX",In Transit,2025-08-01
SHP000665,PO002147,J.B. Hunt,WH007,"Atlanta, GA",Exception,2026-04-11
SHP000666,PO000203,Ryder,WH008,"Chicago, IL",Delayed,2026-02-04
SHP000667,PO001681,J.B. Hunt,WH004,"Seattle, WA",In Transit,2025-08-15
SHP000668,PO001945,DHL,WH004,"Atlanta, GA",Delayed,2025-04-12
SHP000669,PO002511,UPS,WH003,"New York, NY",Delayed,2026-02-07
SHP000670,PO001609,DHL,WH001,"Atlanta, GA",Delivered,2026-05-14
SHP000671,PO000599,Ryder,WH001,"Atlanta, GA",In Transit,2026-06-09
SHP000672,PO000358,J.B. Hunt,WH005,"Chicago, IL",Delayed,2025-01-08
SHP000673,PO002172,J.B. Hunt,WH004,"Seattle, WA",Delivered,2026-03-23
