po_number,supplier_id,product_id,quantity,unit_price,order_value,order_date,expected_delivery_date,actual_delivery_date,status,delay_reason
PO000760,SUP020,PROD00037,93,50.72,4716.96,2025-10-20,2025-11-24,,Open,
PO000761,SUP013,PROD00269,2014,903.94,1820535.16,2026-03-11,2026-03-31,2026-03-30,Delivered,
PO000762,SUP009,PROD00310,560,350.75,196420.0,2026-05-25,2026-06-28,2026-07-21,Delayed,Raw material shortage
PO000763,SUP018,PROD00006,79,819.64,64751.56,2026-02-20,2026-03-02,,In Transit,
PO000764,SUP010,PROD00263,2213,645.21,1427849.73,2026-03-12,2026-04-16,2026-04-29,Delayed,Raw material shortage
PO000765,SUP013,PROD00141,2194,214.96,471622.24,2025-02-13,2025-03-04,2025-03-03,Delivered,
PO000766,SUP020,PROD00082,2154,952.19,2051017.26,2025-08-19,2025-09-11,2025-09-10,Delivered,
PO000767,SUP007,PROD00483,748,1070.1,800434.8,2025-12-28,2026-01-07,2026-01-10,Delivered,
PO000768,SUP018,PROD00018,2258,65.45,147786.1,2026-01-18,2026-01-29,2026-01-29,Delivered,
PO000769,SUP012,PROD00110,1134,944.88,1071493.92,2025-05-01,2025-05-10,2025-05-11,Delivered,
PO000770,SUP011,PROD00136,2379,377.41,897858.39,2025-08-07,2025-08-17,,In Transit,
PO000771,SUP013,PROD00054,2161,469.68,1014978.48,2026-02-08,2026-02-21,,Open,
PO000772,SUP013,PROD00099,2049,409.58,839229.42,2025-02-06,2025-02-23,,Open,
PO000773,SUP019,PROD00284,1395,141.1,196834.5,2025-02-28,2025-03-10,2025-03-14,Delivered,
PO000774,SUP012,PROD00444,812,7.63,6195.56,2025-11-02,2025-11-12,2025-11-14,Delivered,
PO000775,SUP010,PROD00080,2065,349.29,721283.85,2026-02-16,2026-03-17,2026-03-20,Delivered,
PO000776,SUP015,PROD00383,1732,58.32,101010.24,2025-07-22,2025-08-02,2025-08-01,Delivered,
PO000777,SUP019,PROD00151,976,542.43,529411.68,2025-05-07,2025-05-19,2025-05-20,Delivered,
PO000778,SUP019,PROD00421,1804,882.22,1591524.88,2026-04-27,2026-05-08,2026-05-10,Delivered,
PO000779,SUP010,PROD00350,1849,113.05,209029.45,2025-07-06,2025-08-10,2025-08-19,Delayed,Customs clearance delay
PO000780,SUP011,PROD00181,73,656.84,47949.32,2025-06-15,2025-06-27,2025-06-30,Delivered,
PO000781,SUP020,PROD00325,214,301.56,64533.84,2026-01-03,2026-01-27,2026-01-28,Delivered,
PO000782,SUP016,PROD00374,179,1062.04,190105.16,2025-05-17,2025-05-28,2025-05-30,Delivered,
PO000783,SUP010,PROD00350,1138,113.05,128650.9,2025-06-14,2025-07-08,,Open,
PO000784,SUP003,PROD00435,571,531.62,303555.02,2025-05-02,2025-05-18,2025-05-22,Delivered,
PO000785,SUP013,PROD00204,1642,32.7,53693.4,2025-11-29,2025-12-21,2026-01-08,Delayed,Weather disruption
PO000786,SUP002,PROD00430,136,1022.24,139024.64,2025-05-15,2025-05-21,,Open,
PO000787,SUP010,PROD00393,1018,981.78,999452.04,2025-05-10,2025-06-01,2025-05-29,Delivered,
PO000788,SUP017,PROD00367,1829,930.37,1701646.73,2025-02-23,2025-03-23,2025-03-20,Delivered,
PO000789,SUP015,PROD00419,1806,1138.41,2055968.46,2026-05-07,2026-05-21,2026-05-19,Delivered,
PO000790,SUP018,PROD00239,815,841.96,686197.4,2025-09-11,2025-09-30,2025-10-05,Delivered,
PO000791,SUP013,PROD00099,1063,409.58,435383.54,2025-09-13,2025-09-27,2025-10-11,Delayed,Raw material shortage
PO000792,SUP013,PROD00351,2107,1162.24,2448839.68,2026-03-16,2026-03-29,2026-03-27,Delivered,
PO000793,SUP001,PROD00212,2471,957.12,2365043.52,2025-07-05,2025-07-13,,Cancelled,
PO000794,SUP003,PROD00268,207,328.96,68094.72,2025-06-02,2025-06-15,2025-06-18,Delivered,
PO000795,SUP016,PROD00301,1796,668.12,1199943.52,2025-10-08,2025-10-16,,Open,
PO000796,SUP008,PROD00470,1607,692.08,1112172.56,2025-01-19,2025-02-02,2025-01-30,Delivered,
PO000797,SUP006,PROD00079,958,664.63,636715.54,2026-02-22,2026-03-28,2026-03-28,Delivered,
PO000798,SUP013,PROD00347,1799,1021.84,1838290.16,2025-12-11,2025-12-27,2026-01-01,Delivered,
PO000799,SUP001,PROD00012,1199,81.51,97730.49,2025-02-22,2025-03-03,2025-03-05,Delivered,
PO000800,SUP014,PROD00481,794,943.86,749424.84,2025-12-26,2026-01-06,2026-01-03,Delivered,
PO000801,SUP008,PROD00222,918,274.68,252156.24,2025-02-11,2025-02-16,2025-02-18,Delivered,
PO000802,SUP003,PROD00431,1814,1054.78,1913370.92,2025-10-20,2025-11-06,2025-11-04,Delivered,
PO000803,SUP017,PROD00083,1539,1131.5,1741378.5,2025-07-09,2025-08-04,,Open,
PO000804,SUP018,PROD00437,2310,182.64,421898.4,2025-12-09,2025-12-23,2025-12-20,Delivered,
PO000805,SUP018,PROD00071,2462,382.08,940680.96,2025-05-14,2025-05-29,2025-05-31,Delivered,
PO000806,SUP011,PROD00392,910,51.35,46728.5,2026-06-26,2026-07-15,2026-07-16,Delivered,
PO000807,SUP006,PROD00462,584,632.85,369584.4,2026-01-29,2026-02-18,,Open,
PO000808,SUP005,PROD00485,840,786.42,660592.8,2025-05-04,2025-05-14,2025-05-14,Delivered,
PO000809,SUP018,PROD00227,1454,1186.97,1725854.38,2026-04-02,2026-04-13,2026-04-18,Delivered,
PO000810,SUP019,PROD00197,877,1011.82,887366.14,2025-11-05,2025-11-17,,Cancelled,
PO000811,SUP008,PROD00408,2304,415.08,956344.32,2025-06-07,2025-06-12,2025-06-15,Delivered,
PO000812,SUP013,PROD00011,1549,856.97,1327446.53,2025-09-16,2025-10-08,2025-10-31,Delayed,Supplier production delay
PO000813,SUP005,PROD00450,1836,966.73,1774916.28,2026-04-05,2026-04-25,,In Transit,
PO000814,SUP005,PROD00261,139,86.22,11984.58,2025-03-11,2025-03-28,2025-04-02,Delivered,
PO000815,SUP002,PROD00306,1236,652.74,806786.64,2025-06-20,2025-07-04,2025-07-03,Delivered,
PO000816,SUP012,PROD00113,1678,703.55,1180556.9,2025-02-16,2025-03-02,2025-03-02,Delivered,
PO000817,SUP015,PROD00442,357,787.24,281044.68,2026-05-22,2026-06-11,2026-06-16,Delivered,
PO000818,SUP020,PROD00271,1648,412.01,678992.48,2025-06-19,2025-07-21,2025-08-08,Delayed,Weather disruption
PO000819,SUP008,PROD00265,64,553.5,35424.0,2026-02-15,2026-03-01,2026-02-28,Delivered,
PO000820,SUP001,PROD00290,2150,185.14,398051.0,2025-06-13,2025-06-27,2025-06-24,Delivered,
PO000821,SUP015,PROD00214,2200,232.99,512578.0,2026-04-12,2026-04-30,,In Transit,
PO000822,SUP010,PROD00299,1149,145.84,167570.16,2025-09-23,2025-10-20,2025-11-04,Delayed,Raw material shortage
PO000823,SUP014,PROD00240,1025,923.92,947018.0,2025-05-02,2025-05-09,2025-05-14,Delivered,
PO000824,SUP019,PROD00062,594,956.49,568155.06,2025-10-26,2025-10-31,2025-11-01,Delivered,
PO000825,SUP014,PROD00172,910,292.47,266147.7,2025-10-04,2025-10-09,2025-10-09,Delivered,
PO000826,SUP012,PROD00458,1379,1094.23,1508943.17,2025-04-29,2025-05-04,2025-05-06,Delivered,
PO000827,SUP016,PROD00303,1722,493.92,850530.24,2025-03-27,2025-04-09,2025-04-08,Delivered,
PO000828,SUP002,PROD00406,92,919.74,84616.08,2025-10-29,2025-11-08,,Cancelled,
PO000829,SUP011,PROD00208,1195,450.97,538909.15,2025-12-31,2026-01-13,,In Transit,
PO000830,SUP016,PROD00158,2251,1137.46,2560422.46,2025-06-30,2025-07-09,,Open,
PO000831,SUP018,PROD00057,1614,28.16,45450.24,2025-04-19,2025-05-10,,In Transit,
PO000832,SUP004,PROD00030,953,675.28,643541.84,2025-09-21,2025-10-05,2025-10-09,Delivered,
PO000833,SUP005,PROD00097,687,1186.15,814885.05,2025-11-29,2025-12-13,2025-12-16,Delivered,
PO000834,SUP011,PROD00231,1827,905.74,1654786.98,2026-04-02,2026-04-15,,In Transit,
PO000835,SUP008,PROD00332,793,877.3,695698.9,2026-01-13,2026-01-20,2026-01-28,Delayed,Customs clearance delay
PO000836,SUP012,PROD00116,771,469.43,361930.53,2026-04-16,2026-04-23,,In Transit,
PO000837,SUP004,PROD00144,1205,110.32,132935.6,2025-07-13,2025-07-27,2025-07-26,Delivered,
PO000838,SUP019,PROD00151,1664,542.43,902603.52,2025-01-22,2025-01-31,2025-01-30,Delivered,
PO000839,SUP004,PROD00424,1054,364.83,384530.82,2025-07-12,2025-07-18,2025-07-21,Delivered,
PO000840,SUP008,PROD00250,612,292.96,179291.52,2026-04-11,2026-04-22,2026-04-27,Delivered,
PO000841,SUP010,PROD00094,500,985.56,492780.0,2025-01-13,2025-02-03,2025-01-31,Delivered,
PO000842,SUP003,PROD00372,1067,205.63,219407.21,2025-01-14,2025-02-05,2025-02-12,Delayed,Carrier capacity shortage
PO000843,SUP013,PROD00179,88,527.16,46390.08,2025-03-27,2025-04-10,2025-04-07,Delivered,
PO000844,SUP013,PROD00229,1436,214.72,308337.92,2025-04-19,2025-05-07,,In Transit,
PO000845,SUP014,PROD00165,718,181.08,130015.44,2025-03-29,2025-04-06,2025-04-10,Delivered,
PO000846,SUP020,PROD00160,1048,198.89,208436.72,2025-11-11,2025-12-09,,In Transit,
PO000847,SUP005,PROD00338,2276,462.66,1053014.16,2025-02-27,2025-03-17,,In Transit,
PO000848,SUP002,PROD00013,471,278.59,131215.89,2025-05-07,2025-05-12,,In Transit,
PO000849,SUP018,PROD00456,630,892.18,562073.4,2025-10-31,2025-11-11,2025-11-14,Delivered,
PO000850,SUP015,PROD00394,1628,364.07,592705.96,2025-01-02,2025-01-15,2025-01-18,Delivered,
PO000851,SUP020,PROD00210,1625,199.19,323683.75,2025-05-31,2025-06-29,2025-07-12,Delayed,Raw material shortage
PO000852,SUP007,PROD00446,969,262.63,254488.47,2025-04-26,2025-05-13,2025-05-11,Delivered,
PO000853,SUP011,PROD00355,534,114.91,61361.94,2025-04-15,2025-04-29,2025-05-01,Delivered,
PO000854,SUP003,PROD00431,668,1054.78,704593.04,2026-01-05,2026-01-16,,Open,
PO000855,SUP015,PROD00447,1791,927.71,1661528.61,2025-07-02,2025-07-18,2025-07-17,Delivered,
PO000856,SUP011,PROD00189,1225,1196.73,1465994.25,2025-06-03,2025-06-23,,In Transit,
PO000857,SUP014,PROD00426,1561,432.72,675475.92,2025-12-23,2025-12-29,2026-01-02,Delivered,
PO000858,SUP016,PROD00089,658,749.05,492874.9,2025-09-29,2025-10-05,,In Transit,
PO000859,SUP010,PROD00299,2009,145.84,292992.56,2025-05-31,2025-06-28,2025-07-02,Delivered,
PO000860,SUP016,PROD00010,642,158.43,101712.06,2025-03-10,2025-03-16,2025-03-17,Delivered,
PO000861,SUP005,PROD00261,794,86.22,68458.68,2025-04-03,2025-04-18,,Cancelled,
PO000862,SUP015,PROD00292,2021,867.78,1753783.38,2026-01-30,2026-02-14,2026-02-17,Delivered,
PO000863,SUP001,PROD00174,1415,308.11,435975.65,2026-02-28,2026-03-14,,In Transit,
PO000864,SUP013,PROD00229,1057,214.72,226959.04,2025-05-22,2025-06-13,,Open,
PO000865,SUP018,PROD00020,2236,345.87,773365.32,2026-01-28,2026-02-13,2026-02-18,Delivered,
PO000866,SUP014,PROD00377,1625,846.88,1376180.0,2026-05-20,2026-06-02,2026-06-02,Delivered,
PO000867,SUP010,PROD00226,948,227.64,215802.72,2025-03-27,2025-04-27,,In Transit,
PO000868,SUP004,PROD00187,120,1096.68,131601.6,2025-03-31,2025-04-08,2025-04-08,Delivered,
PO000869,SUP012,PROD00150,501,49.94,25019.94,2026-01-07,2026-01-20,2026-01-19,Delivered,
PO000870,SUP017,PROD00498,1257,749.74,942423.18,2025-03-03,2025-04-01,2025-03-31,Delivered,
PO000871,SUP018,PROD00048,1043,514.96,537103.28,2026-04-17,2026-04-29,2026-05-22,Delayed,Customs clearance delay
PO000872,SUP018,PROD00020,530,345.87,183311.1,2025-08-04,2025-08-17,2025-08-16,Delivered,
PO000873,SUP008,PROD00233,1789,444.21,794691.69,2025-05-27,2025-06-07,,In Transit,
PO000874,SUP008,PROD00058,2003,906.31,1815338.93,2026-01-16,2026-01-21,2026-01-19,Delivered,
PO000875,SUP009,PROD00186,373,380.69,141997.37,2025-06-11,2025-06-29,2025-06-28,Delivered,
PO000876,SUP009,PROD00313,663,486.41,322489.83,2025-09-08,2025-09-28,2025-10-01,Delivered,
PO000877,SUP002,PROD00034,2210,462.14,1021329.4,2025-07-06,2025-07-18,,In Transit,
PO000878,SUP003,PROD00184,1868,46.58,87011.44,2025-11-03,2025-11-20,2025-11-22,Delivered,
PO000879,SUP003,PROD00431,181,1054.78,190915.18,2025-01-14,2025-01-28,2025-01-25,Delivered,
PO000880,SUP019,PROD00413,1785,493.98,881754.3,2025-06-27,2025-07-10,2025-07-13,Delivered,
PO000881,SUP019,PROD00484,2393,976.11,2335831.23,2026-04-11,2026-04-24,2026-04-25,Delivered,
PO000882,SUP013,PROD00385,1785,666.55,1189791.75,2026-05-29,2026-06-12,,In Transit,
PO000883,SUP003,PROD00184,2186,46.58,101823.88,2025-06-10,2025-06-24,,Cancelled,
PO000884,SUP003,PROD00345,1690,855.42,1445659.8,2026-01-22,2026-02-03,,In Transit,
PO000885,SUP015,PROD00176,366,997.31,365015.46,2025-02-27,2025-03-12,2025-03-17,Delivered,
PO000886,SUP014,PROD00494,1608,778.47,1251779.76,2026-04-25,2026-05-07,2026-05-10,Delivered,
PO000887,SUP004,PROD00046,1787,1071.73,1915181.51,2025-06-18,2025-06-23,,In Transit,
PO000888,SUP014,PROD00240,1535,923.92,1418217.2,2025-07-19,2025-07-28,2025-07-26,Delivered,
PO000889,SUP020,PROD00271,2268,412.01,934438.68,2025-12-10,2025-12-28,2025-12-27,Delivered,
PO000890,SUP011,PROD00457,1316,1148.26,1511110.16,2025-04-20,2025-05-01,2025-04-28,Delivered,
PO000891,SUP011,PROD00063,1034,609.62,630347.08,2025-07-12,2025-07-30,2025-07-27,Delivered,
PO000892,SUP019,PROD00300,2363,717.73,1695995.99,2025-10-03,2025-10-09,,Open,
PO000893,SUP014,PROD00493,2031,795.03,1614705.93,2025-02-15,2025-03-01,,Cancelled,
PO000894,SUP002,PROD00124,84,1134.77,95320.68,2025-02-16,2025-02-21,2025-02-22,Delivered,
PO000895,SUP014,PROD00445,2098,172.84,362618.32,2026-01-01,2026-01-10,,Open,
PO000896,SUP013,PROD00376,448,413.46,185230.08,2025-07-19,2025-08-03,2025-08-20,Delayed,Carrier capacity shortage
PO000897,SUP014,PROD00481,2106,943.86,1987769.16,2025-12-06,2025-12-17,2026-01-08,Delayed,Port congestion
PO000898,SUP010,PROD00080,1615,349.29,564103.35,2025-06-03,2025-06-21,,In Transit,
PO000899,SUP020,PROD00451,1946,245.06,476886.76,2026-05-04,2026-05-23,2026-05-22,Delivered,
PO000900,SUP012,PROD00185,998,816.48,814847.04,2025-03-22,2025-03-28,,Open,
PO000901,SUP005,PROD00097,626,1186.15,742529.9,2025-08-09,2025-08-31,,In Transit,
PO000902,SUP017,PROD00417,2193,1070.95,2348593.35,2025-06-14,2025-07-18,,In Transit,
PO000903,SUP015,PROD00447,1525,927.71,1414757.75,2025-12-16,2026-01-02,2026-01-18,Delayed,Supplier production delay
PO000904,SUP016,PROD00297,905,318.51,288251.55,2026-03-18,2026-03-23,2026-04-10,Delayed,Carrier capacity shortage
PO000905,SUP011,PROD00175,448,926.94,415269.12,2025-03-18,2025-03-30,2025-04-03,Delivered,
PO000906,SUP011,PROD00209,407,51.5,20960.5,2025-01-16,2025-01-28,2025-02-12,Delayed,Weather disruption
PO000907,SUP013,PROD00019,1260,260.43,328141.8,2026-05-26,2026-06-06,2026-06-05,Delivered,
PO000908,SUP010,PROD00224,1497,908.31,1359740.07,2025-06-15,2025-07-05,2025-07-07,Delivered,
PO000909,SUP003,PROD00435,1106,531.62,587971.72,2025-04-02,2025-04-13,2025-04-17,Delivered,
PO000910,SUP017,PROD00207,625,92.87,58043.75,2026-04-30,2026-05-26,2026-06-15,Delayed,Raw material shortage
PO000911,SUP014,PROD00157,1224,116.68,142816.32,2025-05-07,2025-05-21,2025-05-23,Delivered,
PO000912,SUP008,PROD00069,578,488.26,282214.28,2026-02-15,2026-02-26,,In Transit,
PO000913,SUP020,PROD00282,1334,364.02,485602.68,2026-03-28,2026-04-26,,In Transit,
PO000914,SUP016,PROD00297,1893,318.51,602939.43,2026-01-18,2026-01-24,2026-01-29,Delivered,
PO000915,SUP007,PROD00163,1052,1159.69,1219993.88,2025-09-27,2025-10-17,2025-10-14,Delivered,
PO000916,SUP009,PROD00126,698,83.49,58276.02,2025-01-09,2025-01-31,2025-02-15,Delayed,Customs clearance delay
PO000917,SUP014,PROD00064,432,850.23,367299.36,2026-02-13,2026-02-19,2026-02-23,Delivered,
PO000918,SUP016,PROD00075,1954,306.71,599311.34,2025-12-24,2026-01-05,2026-01-10,Delivered,
PO000919,SUP020,PROD00500,1675,992.68,1662739.0,2025-04-22,2025-05-12,2025-05-10,Delivered,
PO000920,SUP013,PROD00385,1349,666.55,899175.95,2026-03-20,2026-04-02,2026-03-31,Delivered,
PO000921,SUP003,PROD00260,518,631.11,326914.98,2025-12-17,2026-01-05,2026-01-09,Delivered,
PO000922,SUP016,PROD00379,1974,688.26,1358625.24,2025-10-13,2025-10-25,2025-10-24,Delivered,
PO000923,SUP017,PROD00083,1607,1131.5,1818320.5,2025-05-30,2025-06-23,2025-06-20,Delivered,
PO000924,SUP007,PROD00044,1989,273.45,543892.05,2025-03-05,2025-03-27,2025-03-30,Delivered,
PO000925,SUP008,PROD00353,1782,19.29,34374.78,2025-08-07,2025-08-12,2025-08-09,Delivered,
PO000926,SUP013,PROD00005,392,717.71,281342.32,2025-10-04,2025-10-18,,In Transit,
PO000927,SUP017,PROD00008,1271,649.56,825590.76,2025-05-26,2025-06-15,2025-06-13,Delivered,
PO000928,SUP011,PROD00291,803,421.25,338263.75,2026-04-08,2026-04-24,2026-04-25,Delivered,
PO000929,SUP005,PROD00331,1805,1169.3,2110586.5,2025-02-25,2025-03-08,,Open,
PO000930,SUP015,PROD00383,1480,58.32,86313.6,2025-12-17,2026-01-08,2026-01-08,Delivered,
PO000931,SUP004,PROD00362,1839,1168.91,2149625.49,2026-03-06,2026-03-18,2026-03-17,Delivered,
PO000932,SUP018,PROD00382,2347,113.91,267346.77,2025-12-30,2026-01-20,2026-01-17,Delivered,
PO000933,SUP013,PROD00005,2419,717.71,1736140.49,2025-07-23,2025-08-03,,In Transit,
PO000934,SUP015,PROD00220,1346,418.9,563839.4,2025-05-29,2025-06-13,,In Transit,
PO000935,SUP013,PROD00112,654,112.91,73843.14,2025-01-15,2025-01-27,,Open,
PO000936,SUP018,PROD00382,1126,113.91,128262.66,2026-05-27,2026-06-11,2026-06-14,Delivered,
PO000937,SUP016,PROD00379,564,688.26,388178.64,2026-06-18,2026-06-23,,Cancelled,
PO000938,SUP010,PROD00224,1771,908.31,1608617.01,2026-04-06,2026-04-27,2026-04-27,Delivered,
PO000939,SUP004,PROD00027,909,321.04,291825.36,2025-06-20,2025-07-04,2025-07-06,Delivered,
PO000940,SUP009,PROD00007,116,8.88,1030.08,2025-07-15,2025-08-02,2025-08-04,Delivered,
PO000941,SUP001,PROD00475,2094,152.27,318853.38,2025-11-06,2025-11-15,2025-11-13,Delivered,
PO000942,SUP012,PROD00491,2271,426.71,969058.41,2026-04-12,2026-04-23,2026-04-25,Delivered,
PO000943,SUP001,PROD00475,1425,152.27,216984.75,2026-03-13,2026-03-26,,Open,
PO000944,SUP013,PROD00019,774,260.43,201572.82,2025-04-27,2025-05-09,2025-05-11,Delivered,
PO000945,SUP006,PROD00079,1841,664.63,1223583.83,2025-06-16,2025-07-21,2025-07-22,Delivered,
PO000946,SUP005,PROD00247,456,288.1,131373.6,2025-10-18,2025-11-08,,In Transit,
PO000947,SUP017,PROD00359,1734,505.99,877386.66,2025-03-31,2025-04-21,2025-04-18,Delivered,
PO000948,SUP020,PROD00108,458,765.76,350718.08,2025-04-17,2025-05-20,2025-06-14,Delayed,Weather disruption
PO000949,SUP013,PROD00019,1237,260.43,322151.91,2026-03-31,2026-04-18,2026-04-15,Delivered,
PO000950,SUP011,PROD00463,2309,1060.66,2449063.94,2026-03-07,2026-03-20,2026-03-24,Delivered,
PO000951,SUP013,PROD00255,559,931.74,520842.66,2026-01-26,2026-02-06,2026-02-10,Delivered,
PO000952,SUP007,PROD00217,1741,734.04,1277963.64,2025-12-26,2026-01-17,,Open,
PO000953,SUP016,PROD00416,967,517.69,500606.23,2026-02-10,2026-02-15,,Open,
PO000954,SUP007,PROD00217,1309,734.04,960858.36,2026-06-04,2026-06-18,2026-06-19,Delivered,
PO000955,SUP019,PROD00038,183,143.2,26205.6,2026-03-01,2026-03-09,2026-03-12,Delivered,
PO000956,SUP006,PROD00433,2175,1177.98,2562106.5,2025-01-16,2025-02-03,2025-02-05,Delivered,
PO000957,SUP007,PROD00146,1040,639.07,664632.8,2025-11-22,2025-12-07,2025-12-10,Delivered,
PO000958,SUP019,PROD00107,261,333.0,86913.0,2026-02-05,2026-02-13,2026-02-16,Delivered,
PO000959,SUP020,PROD00093,1649,463.39,764130.11,2026-03-16,2026-04-07,,Open,
PO000960,SUP002,PROD00306,1841,652.74,1201694.34,2025-06-27,2025-07-08,2025-07-30,Delayed,Carrier capacity shortage
PO000961,SUP011,PROD00175,567,926.94,525574.98,2025-08-25,2025-09-05,,In Transit,
PO000962,SUP003,PROD00492,1655,202.9,335799.5,2026-06-01,2026-06-12,,In Transit,
PO000963,SUP014,PROD00172,884,292.47,258543.48,2025-09-24,2025-10-07,2025-10-09,Delivered,
PO000964,SUP008,PROD00342,2480,888.79,2204199.2,2025-04-06,2025-04-12,2025-04-09,Delivered,
PO000965,SUP013,PROD00087,2276,796.79,1813494.04,2025-06-06,2025-06-16,,In Transit,
PO000966,SUP013,PROD00204,1908,32.7,62391.6,2025-03-22,2025-04-10,2025-04-09,Delivered,
PO000967,SUP019,PROD00076,1266,186.31,235868.46,2026-01-02,2026-01-09,2026-01-09,Delivered,
PO000968,SUP017,PROD00193,261,542.72,141649.92,2025-07-18,2025-08-22,2025-09-09,Delayed,Supplier production delay
PO000969,SUP020,PROD00325,144,301.56,43424.64,2025-10-09,2025-10-29,,Open,
PO000970,SUP006,PROD00414,2490,402.49,1002200.1,2025-04-16,2025-05-07,,In Transit,
PO000971,SUP008,PROD00410,789,270.59,213495.51,2025-05-06,2025-05-12,2025-05-13,Delivered,
PO000972,SUP018,PROD00091,901,663.25,597588.25,2025-04-06,2025-04-17,2025-04-19,Delivered,
PO000973,SUP018,PROD00369,1744,850.08,1482539.52,2026-02-05,2026-02-16,2026-02-13,Delivered,
PO000974,SUP005,PROD00109,362,697.59,252527.58,2025-03-17,2025-04-03,,Open,
PO000975,SUP018,PROD00018,1896,65.45,124093.2,2025-08-04,2025-08-24,2025-08-26,Delivered,
PO000976,SUP001,PROD00262,2373,792.84,1881409.32,2025-06-14,2025-06-21,2025-06-20,Delivered,
PO000977,SUP005,PROD00140,1470,1134.66,1667950.2,2025-02-02,2025-02-13,,Cancelled,
PO000978,SUP002,PROD00115,698,172.03,120076.94,2026-05-11,2026-05-25,2026-05-22,Delivered,
PO000979,SUP008,PROD00365,839,112.86,94689.54,2026-06-19,2026-06-28,,Open,
PO000980,SUP010,PROD00139,674,634.69,427781.06,2025-01-31,2025-03-07,2025-03-12,Delivered,
PO000981,SUP019,PROD00042,170,518.72,88182.4,2025-08-10,2025-08-20,2025-08-20,Delivered,
PO000982,SUP018,PROD00018,1146,65.45,75005.7,2025-12-02,2025-12-14,2025-12-13,Delivered,
PO000983,SUP001,PROD00276,1477,492.61,727584.97,2025-10-08,2025-10-20,2025-10-18,Delivered,
PO000984,SUP013,PROD00229,2080,214.72,446617.6,2025-10-29,2025-11-15,,In Transit,
PO000985,SUP011,PROD00457,840,1148.26,964538.4,2026-03-23,2026-04-10,,Open,
PO000986,SUP018,PROD00081,1659,513.04,851133.36,2025-09-14,2025-09-26,2025-09-27,Delivered,
PO000987,SUP007,PROD00146,728,639.07,465242.96,2025-04-16,2025-05-05,2025-05-29,Delayed,Supplier production delay
PO000988,SUP017,PROD00083,1785,1131.5,2019727.5,2025-07-30,2025-09-01,2025-09-05,Delivered,
PO000989,SUP005,PROD00485,1618,786.42,1272427.56,2025-10-06,2025-10-21,,In Transit,
PO000990,SUP020,PROD00436,1581,630.11,996203.91,2026-03-16,2026-04-09,,In Transit,
PO000991,SUP013,PROD00143,2144,350.97,752479.68,2025-03-07,2025-03-24,2025-03-21,Delivered,
PO000992,SUP008,PROD00250,1492,292.96,437096.32,2025-09-17,2025-10-01,2025-10-06,Delivered,
PO000993,SUP014,PROD00267,1808,602.33,1089012.64,2026-02-12,2026-02-17,2026-02-19,Delivered,
PO000994,SUP006,PROD00318,1572,103.49,162686.28,2025-07-10,2025-08-08,2025-08-08,Delivered,
PO000995,SUP019,PROD00191,550,436.27,239948.5,2026-01-16,2026-01-23,,In Transit,
PO000996,SUP017,PROD00498,1956,749.74,1466491.44,2025-01-10,2025-02-07,2025-02-23,Delayed,Carrier capacity shortage
PO000997,SUP003,PROD00184,1211,46.58,56408.38,2025-11-26,2025-12-09,2025-12-12,Delivered,
PO000998,SUP012,PROD00201,1188,161.27,191588.76,2025-08-06,2025-08-19,2025-08-24,Delivered,
PO000999,SUP014,PROD00377,1832,846.88,1551484.16,2025-03-18,2025-04-01,2025-04-20,Delayed,Raw material shortage
PO001000,SUP002,PROD00245,2073,719.35,1491212.55,2025-11-22,2025-12-02,2025-11-29,Delivered,
PO001001,SUP018,PROD00081,1775,513.04,910646.0,2026-05-26,2026-06-05,,Cancelled,
PO001002,SUP014,PROD00053,2471,1024.87,2532453.77,2025-05-03,2025-05-09,2025-05-11,Delivered,
PO001003,SUP016,PROD00440,123,110.18,13552.14,2026-01-28,2026-02-05,2026-02-06,Delivered,
PO001004,SUP003,PROD00004,201,613.88,123389.88,2025-01-05,2025-01-22,2025-01-25,Delivered,
PO001005,SUP020,PROD00169,334,660.82,220713.88,2026-06-25,2026-07-14,2026-07-11,Delivered,
PO001006,SUP016,PROD00066,1750,406.99,712232.5,2026-04-27,2026-05-03,,In Transit,
PO001007,SUP016,PROD00188,1689,834.31,1409149.59,2025-11-05,2025-11-14,2025-11-16,Delivered,
PO001008,SUP018,PROD00349,242,490.78,118768.76,2025-03-23,2025-04-10,2025-05-01,Delayed,Weather disruption
PO001009,SUP002,PROD00454,2070,68.41,141608.7,2026-02-07,2026-02-16,2026-02-20,Delivered,
PO001010,SUP015,PROD00294,470,674.02,316789.4,2025-05-05,2025-05-20,,Open,
PO001011,SUP015,PROD00237,618,971.39,600319.02,2025-01-30,2025-02-12,2025-02-09,Delivered,
PO001012,SUP015,PROD00298,747,425.62,317938.14,2025-04-18,2025-05-03,2025-05-22,Delayed,Carrier capacity shortage
PO001013,SUP013,PROD00471,1560,383.1,597636.0,2025-04-01,2025-04-14,,In Transit,
PO001014,SUP004,PROD00125,503,514.4,258743.2,2025-01-06,2025-01-11,2025-01-08,Delivered,
PO001015,SUP014,PROD00468,1604,1038.62,1665946.48,2025-02-19,2025-02-28,2025-03-02,Delivered,
PO001016,SUP018,PROD00130,2439,705.83,1721519.37,2025-10-04,2025-10-25,2025-10-24,Delivered,
PO001017,SUP016,PROD00301,2442,668.12,1631549.04,2026-04-17,2026-04-23,2026-04-22,Delivered,
